transaction_name,company_name,investor_name
Seed Round,Theranos,DFJ
Series A,Theranos,Rupert Murdoch
Series B,Theranos,ATA Ventures
Series C,Theranos,ATA Ventures
Series C,Theranos,Taka Ventures
Series C,Theranos,Continental Properties
Series C,Theranos,The Lawrence J. Ellison Revocable Trust
Funding Round,Theranos,Walgreens
Private Equity Round 2,Theranos,Raymond Bingham
Private Equity Round 2,Theranos,Partner Fund Management
Private Equity Round 2,Theranos,Palmieri Family Trust
Private Equity Round 2,Theranos,Jupiter Partners
Private Equity Round 2,Theranos,Esoom Enterprise
Private Equity Round 2,Theranos,Continental Properties
Private Equity Round 2,Theranos,BlueCross BlueShield Venture Partners
Private Equity Round 2,Theranos,B.J. Cassin
Secondary Market - Theranos,Theranos,Puget Sound Venture Club
Debt Financing,Theranos,Fortress Investment Group
