invested_company,funded_date,raised_amount_usd,transaction_name
Theranos,15/06/2004,500000,Seed Round
Theranos,11/02/2005,5800000,Series A
Theranos,21/02/2006,9100000,Series B
Theranos,17/11/2006,28500000,Series C
Theranos,8/1/2014,45000000,Venture Round
Theranos,9/9/2013,50000000,Funding Round
Theranos,01/02/2014,198900000,Private Equity Round 1
Theranos,01/03/2015,348500000,Private Equity Round 2
Theranos,25/05/2017,582200000,Secondary Market - Theranos
Theranos,23/12/2017,100000000,Debt Financing
